pdes,full_name,neo,pha,H,diameter,albedo,e,a,q,i,om,w,moid,class
2014 GH17,       (2014 GH17),Y,N,21.90,,,0.3037,1.659,1.155,41.77,198.70,57.69,0.276,AMO
2014 GO17,       (2014 GO17),Y,N,23.10,,,0.6472,2.445,0.863,6.83,18.34,119.52,0.0222,APO
2014 GP17,       (2014 GP17),Y,N,25.21,,,0.5608,2.224,0.977,3.60,38.24,189.56,0.0125,APO
2014 GQ17,       (2014 GQ17),Y,N,27.10,,,0.2472,0.8541,0.643,0.09,81.00,329.01,7.83e-05,ATE
2014 GC34,       (2014 GC34),Y,N,22.46,,,0.7518,1.084,0.269,15.58,13.67,38.55,0.0313,APO
2014 GD34,       (2014 GD34),Y,N,25.60,,,0.0874,1.151,1.050,8.55,22.68,143.61,0.0633,AMO
2014 GS34,       (2014 GS34),Y,N,24.25,,,0.4875,1.968,1.009,6.95,186.74,45.00,0.0559,APO
2014 GT34,       (2014 GT34),Y,N,21.65,,,0.3208,0.8518,0.579,34.68,10.76,5.10,0.124,ATE
2014 GU34,       (2014 GU34),Y,N,25.69,,,0.3783,1.6,0.995,5.78,14.42,158.42,0.0114,APO
2014 GC35,       (2014 GC35),Y,N,22.40,,,0.3066,1.019,0.706,33.11,198.05,154.49,0.249,APO
2014 GD35,       (2014 GD35),Y,N,21.80,,,0.3716,1.835,1.153,40.60,193.45,56.30,0.285,AMO
2014 GE35,       (2014 GE35),Y,Y,20.09,,,0.5207,1.891,0.906,19.16,223.37,232.15,0.0393,APO
2014 GF35,       (2014 GF35),Y,N,22.29,,,0.4871,2.506,1.285,7.86,2.73,148.84,0.304,AMO
2014 GG35,       (2014 GG35),Y,N,22.01,,,0.3370,1.83,1.213,4.13,348.54,254.55,0.215,AMO
2014 GH35,       (2014 GH35),Y,N,21.51,,,0.5401,2.218,1.020,9.47,22.87,259.07,0.141,AMO
2014 GJ35,       (2014 GJ35),Y,N,20.20,0.377,0.094,0.6329,1.516,0.557,33.87,193.12,114.08,0.124,APO
2014 GK35,       (2014 GK35),Y,N,24.40,,,0.6654,1.643,0.550,5.92,203.49,251.01,0.0209,APO
2014 GL35,       (2014 GL35),Y,N,20.60,,,0.7808,2.136,0.468,7.82,224.42,218.45,0.0861,APO
2014 GM35,       (2014 GM35),Y,N,26.80,,,0.7845,2.484,0.535,4.19,194.04,268.97,0.00287,APO
2014 GY44,       (2014 GY44),Y,N,25.40,,,0.3911,1.189,0.724,10.19,188.64,271.70,0.00121,APO
2014 GC45,       (2014 GC45),Y,N,22.70,,,0.3769,1.899,1.183,10.71,36.29,198.18,0.181,AMO
2014 GF45,       (2014 GF45),Y,N,23.30,,,0.2350,0.9838,0.753,15.96,198.87,170.45,0.191,ATE
2014 GG45,       (2014 GG45),Y,N,24.80,,,0.2429,1.284,0.972,38.02,19.67,215.82,0.00762,APO
2014 GH45,       (2014 GH45),Y,N,24.90,,,0.1304,1.167,1.014,25.39,194.94,298.16,0.078,APO
2014 GJ45,       (2014 GJ45),Y,N,23.63,,,0.3279,0.9377,0.630,21.29,21.99,312.39,0.0524,ATE
2014 GK45,       (2014 GK45),Y,N,26.10,,,0.3488,1.618,1.054,4.86,29.06,158.01,0.06,AMO
2014 GQ45,       (2014 GQ45),Y,N,25.50,,,0.5189,2.112,1.016,6.46,193.78,7.61,0.0174,APO
2014 GR45,       (2014 GR45),Y,N,23.90,,,0.5278,2.008,0.948,2.07,130.37,5.71,0.0122,APO
2014 GS45,       (2014 GS45),Y,N,24.40,,,0.4671,2.028,1.081,9.57,186.77,4.20,0.0825,AMO
2014 GT45,       (2014 GT45),Y,N,23.70,,,0.0668,1.174,1.095,17.84,191.41,324.05,0.109,AMO
2014 GV48,       (2014 GV48),Y,N,25.80,,,0.4310,1.854,1.055,3.73,208.46,353.46,0.0526,AMO
2014 GB49,       (2014 GB49),Y,N,25.79,,,0.6096,2.523,0.985,14.02,12.75,210.01,0.029,APO
2014 GC49,       (2014 GC49),Y,N,28.60,,,0.6441,0.7348,0.262,6.43,193.24,207.59,0.000419,ATE
2014 GG49,       (2014 GG49),Y,N,25.80,,,0.4058,1.401,0.833,4.32,35.31,240.07,0.0075,APO
2014 GB50,       (2014 GB50),Y,N,20.46,,,0.4304,2.279,1.298,24.19,188.25,306.90,0.406,AMO
2014 GD50,       (2014 GD50),Y,N,20.09,,,0.5230,1.763,0.841,35.01,58.40,250.28,0.0614,APO
2014 HW,       (2014 HW),Y,N,28.40,,,0.1150,1.079,0.955,4.49,34.28,243.81,0.00437,APO
2014 HK2,       (2014 HK2),Y,N,20.30,,,0.5333,2.426,1.132,13.46,74.23,187.36,0.119,AMO
2014 HL2,       (2014 HL2),Y,N,26.20,,,0.5510,2.081,0.934,0.46,112.52,146.46,0.000847,APO
2014 HM2,       (2014 HM2),Y,N,21.80,,,0.5209,2.277,1.091,4.93,208.63,47.52,0.0994,AMO
2014 HN2,       (2014 HN2),Y,N,26.34,,,0.1179,0.9271,0.818,1.24,198.76,207.54,0.00659,ATE
2014 HO2,       (2014 HO2),Y,N,26.00,,,0.2803,1.193,0.858,0.58,156.19,334.52,0.00709,APO
2014 HP2,       (2014 HP2),Y,N,27.30,,,0.3479,1.519,0.990,2.50,35.91,202.01,0.0011,APO
2014 HU2,       (2014 HU2),Y,N,26.50,,,0.6738,2.35,0.767,1.09,57.01,223.91,0.00715,APO
2014 HV2,       (2014 HV2),Y,N,25.90,,,0.5767,2.077,0.879,4.25,39.47,228.94,0.00039,APO
2014 HW2,       (2014 HW2),Y,N,22.20,,,0.2531,1.58,1.180,34.71,30.68,258.07,0.361,AMO
2014 HX2,       (2014 HX2),Y,N,27.20,,,0.4648,1.831,0.980,1.09,31.72,147.85,0.00343,APO
2014 HD3,       (2014 HD3),Y,N,20.40,,,0.5091,2.13,1.046,7.95,51.94,226.01,0.0819,AMO
2014 HE3,       (2014 HE3),Y,N,20.01,0.561,0.061,0.7262,3.268,0.895,6.36,22.62,287.33,0.0542,APO
2014 HG4,       (2014 HG4),Y,N,19.95,0.975,0.022,0.7879,2.766,0.587,4.54,109.21,210.55,0.0665,APO
2014 HH4,       (2014 HH4),Y,N,24.10,,,0.6755,1.125,0.365,2.67,218.87,222.62,0.00974,APO
2014 HJ4,       (2014 HJ4),Y,N,23.40,,,0.2866,1.578,1.126,13.89,36.80,154.56,0.138,AMO
2014 HK4,       (2014 HK4),Y,N,23.63,,,0.5016,1.257,0.627,8.66,38.90,281.96,0.011,APO
2014 HM4,       (2014 HM4),Y,N,26.90,,,0.5300,1.099,0.517,1.31,30.81,297.98,0.00173,APO
2014 HN4,       (2014 HN4),Y,N,25.90,,,0.3353,1.508,1.002,14.26,213.71,310.16,0.0755,APO
2014 HP4,       (2014 HP4),Y,N,22.31,,,0.5577,2.063,0.912,5.33,158.51,355.33,0.0515,APO
2014 HQ4,       (2014 HQ4),Y,N,25.65,,,0.5760,1.751,0.742,6.06,210.74,278.75,0.0145,APO
2014 HS4,       (2014 HS4),Y,N,26.10,,,0.4105,1.78,1.049,4.93,213.59,350.90,0.0464,AMO
2014 HT4,       (2014 HT4),Y,N,23.70,,,0.4919,2.046,1.039,5.07,200.57,341.64,0.0469,AMO
2014 HE5,       (2014 HE5),Y,N,25.40,,,0.6052,2.271,0.896,11.09,31.93,233.29,0.0243,APO
2014 HF5,       (2014 HF5),Y,N,25.30,,,0.4510,1.9,1.043,6.13,217.66,354.03,0.0377,AMO
2014 HS46,       (2014 HS46),Y,N,23.01,,,0.2482,1.416,1.065,11.67,36.98,153.88,0.0764,AMO
2014 HT46,       (2014 HT46),Y,N,26.60,,,0.2334,1.282,0.983,1.57,200.12,58.74,0.0127,APO
2014 HU46,       (2014 HU46),Y,N,27.80,,,0.4190,1.504,0.874,1.89,200.53,305.22,0.000375,APO
2014 HV46,       (2014 HV46),Y,N,23.20,,,0.3999,2.125,1.275,1.45,131.33,92.71,0.268,AMO
2014 HH123,       (2014 HH123),Y,N,24.40,,,0.2369,1.121,0.855,8.38,198.84,293.58,0.0215,APO
2014 HL123,       (2014 HL123),Y,N,22.53,,,0.3900,1.693,1.032,11.86,43.35,100.57,0.175,AMO
2014 HM123,       (2014 HM123),Y,N,21.48,,,0.2729,1.645,1.196,16.14,54.75,128.48,0.252,AMO
2014 HN123,       (2014 HN123),Y,N,19.50,,,0.6364,3.208,1.166,7.08,143.48,143.55,0.167,AMO
2014 HO123,       (2014 HO123),Y,N,20.60,,,0.5381,2.311,1.068,12.35,16.40,276.23,0.213,AMO
2014 HZ123,       (2014 HZ123),Y,N,23.70,,,0.4972,2.352,1.182,6.92,221.46,352.69,0.177,AMO
2014 HA124,       (2014 HA124),Y,N,26.50,,,0.4856,2.024,1.041,2.60,202.44,41.83,0.041,AMO
2014 HB124,       (2014 HB124),Y,N,23.02,,,0.5103,0.8432,0.413,6.57,221.81,168.52,0.0565,ATE
2014 HC124,       (2014 HC124),Y,N,23.60,,,0.5620,1.641,0.719,7.20,218.62,260.13,0.00749,APO
2014 HE124,       (2014 HE124),Y,Y,22.00,,,0.8487,1.959,0.296,18.73,204.34,229.78,0.0437,APO
2014 HF124,       (2014 HF124),Y,N,21.42,,,0.4656,1.829,0.978,37.51,205.83,302.48,0.127,APO
2014 HG124,       (2014 HG124),Y,N,24.30,,,0.5813,2.546,1.066,4.79,35.70,144.56,0.0816,AMO
2014 HQ124,       (2014 HQ124),Y,Y,18.95,0.325,0.291,0.2593,0.8507,0.630,26.37,257.53,144.57,0.00821,ATE
2014 HR124,       (2014 HR124),Y,N,22.76,,,0.4677,1.606,0.855,6.99,26.54,274.66,0.0542,APO
2014 HS124,       (2014 HS124),Y,N,23.16,,,0.2926,1.347,0.953,9.42,32.64,224.75,0.00975,APO
2014 HJ129,       (2014 HJ129),Y,N,20.58,0.597,0.018,0.5657,2.579,1.120,8.44,241.15,264.71,0.203,AMO
2014 HK129,       (2014 HK129),Y,Y,21.10,,,0.4889,1.7,0.869,6.71,93.84,45.33,0.00843,APO
2014 HL129,       (2014 HL129),Y,N,28.30,,,0.2464,1.278,0.963,5.36,41.43,220.47,0.00196,APO
2014 HM129,       (2014 HM129),Y,N,20.30,,,0.4090,1.552,0.917,51.95,36.93,14.06,0.0678,APO
2014 HM132,       (2014 HM132),Y,N,25.00,,,0.4191,1.946,1.130,1.43,188.60,67.48,0.118,AMO
2014 HN132,       (2014 HN132),Y,N,25.60,,,0.3350,1.471,0.978,10.77,35.03,113.17,0.0905,APO
2014 HO132,       (2014 HO132),Y,N,25.70,,,0.4704,1.832,0.970,5.34,42.95,211.76,0.00514,APO
2014 HP132,       (2014 HP132),Y,N,22.15,,,0.5695,1.763,0.759,40.60,39.80,257.95,0.0449,APO
2014 HQ132,       (2014 HQ132),Y,N,20.70,,,0.4835,2.146,1.109,11.54,69.63,207.00,0.114,AMO
2014 HX164,       (2014 HX164),Y,N,27.20,,,0.3494,1.444,0.939,3.24,47.45,220.04,0.00242,APO
2014 HZ164,       (2014 HZ164),Y,N,23.80,,,0.5112,1.995,0.975,3.40,49.97,122.45,0.0323,APO
2014 HA165,       (2014 HA165),Y,N,23.10,,,0.5892,2.485,1.021,5.50,103.09,71.78,0.0916,AMO
2014 HX176,       (2014 HX176),Y,N,24.50,,,0.4972,2.04,1.026,2.54,193.07,356.29,0.0269,AMO
2014 HY176,       (2014 HY176),Y,N,22.30,,,0.6425,2.801,1.001,8.80,214.52,49.24,0.0687,APO
2014 HA177,       (2014 HA177),Y,N,20.58,,,0.2433,1.714,1.297,12.44,37.75,265.21,0.372,AMO
2014 HB177,       (2014 HB177),Y,N,28.10,,,0.1947,1.114,0.897,3.48,45.11,251.62,0.000536,APO
2014 HC177,       (2014 HC177),Y,N,25.10,,,0.4765,1.848,0.967,7.41,212.44,323.78,0.0158,APO
2014 HD177,       (2014 HD177),Y,N,22.89,,,0.5719,1.849,0.791,2.18,219.20,274.99,0.0131,APO
2014 HE177,       (2014 HE177),Y,N,25.80,,,0.4663,1.979,1.056,3.55,219.03,3.99,0.0479,AMO
2014 HF177,       (2014 HF177),Y,N,19.79,0.253,0.364,0.5483,2.283,1.031,7.19,42.87,251.54,0.107,AMO
2014 HV177,       (2014 HV177),Y,Y,21.00,,,0.5494,2.171,0.978,4.59,24.24,128.14,0.04,APO
2014 HW177,       (2014 HW177),Y,N,23.24,,,0.6443,3.308,1.177,13.01,49.90,201.79,0.178,AMO
2014 HN178,       (2014 HN178),Y,N,23.50,,,0.4579,1.889,1.024,2.38,333.60,306.19,0.0319,AMO
2014 HP178,       (2014 HP178),Y,N,21.70,,,0.3515,1.992,1.292,5.40,79.76,134.58,0.295,AMO
2014 HQ178,       (2014 HQ178),Y,N,22.60,,,0.2798,1.442,1.038,5.89,31.66,102.04,0.108,AMO
2014 HR178,       (2014 HR178),Y,N,20.15,,,0.4745,1.732,0.910,8.11,168.62,163.67,0.0567,APO
2014 HS178,       (2014 HS178),Y,N,20.14,,,0.5623,2.938,1.286,30.29,166.04,38.09,0.361,AMO
2014 HT178,       (2014 HT178),Y,N,26.50,,,0.6384,2.394,0.866,4.71,41.17,238.55,0.0111,APO
2014 HD184,       (2014 HD184),Y,N,22.90,,,0.3268,1.01,0.680,18.91,226.95,204.49,0.204,APO
2014 HE184,       (2014 HE184),Y,N,23.94,,,0.3167,1.642,1.122,15.98,229.83,279.65,0.271,AMO
2014 HF184,       (2014 HF184),Y,N,26.90,,,0.2502,1.428,1.071,5.11,32.52,218.35,0.0758,AMO
2014 HJ184,       (2014 HJ184),Y,N,21.65,,,0.3818,0.9353,0.578,19.59,28.64,357.43,0.247,ATE
2014 HP184,       (2014 HP184),Y,N,20.97,,,0.3855,1.512,0.929,19.14,25.87,63.61,0.078,APO
2014 HQ184,       (2014 HQ184),Y,N,24.31,,,0.3638,1.093,0.696,10.67,231.32,225.47,0.104,APO
2014 HS184,       (2014 HS184),Y,N,23.30,,,0.4710,1.954,1.034,2.32,106.89,170.88,0.0177,AMO
2014 HT184,       (2014 HT184),Y,N,22.44,,,0.7873,1.427,0.304,19.31,46.36,316.92,0.0614,APO
2014 HM187,       (2014 HM187),Y,N,21.40,,,0.1896,1.523,1.234,0.66,88.70,270.22,0.23,AMO
2014 HN190,       (2014 HN190),Y,N,24.23,,,0.2175,1.409,1.102,13.15,208.78,309.82,0.153,AMO
2014 HO190,       (2014 HO190),Y,N,24.60,,,0.2844,1.753,1.254,12.22,232.44,345.21,0.25,AMO
2014 HR190,       (2014 HR190),Y,N,26.20,,,0.4169,2.002,1.168,2.91,196.65,18.15,0.162,AMO
2014 HS190,       (2014 HS190),Y,N,23.60,,,0.2072,1.377,1.092,13.05,31.23,122.52,0.155,AMO
2014 HT190,       (2014 HT190),Y,N,26.00,,,0.5490,2.354,1.061,6.65,45.35,211.67,0.0696,AMO
2014 HV190,       (2014 HV190),Y,N,26.10,,,0.5043,2.376,1.178,3.31,229.14,353.31,0.17,AMO
2014 HY191,       (2014 HY191),Y,,25.19,,,0.4659,2.009,1.073,3.64,53.92,118.43,,AMO
2014 HZ191,       (2014 HZ191),Y,,23.47,,,0.5841,1.273,0.529,7.22,47.22,295.30,,APO
2014 HA192,       (2014 HA192),Y,,25.54,,,0.7248,1.34,0.369,7.92,41.17,43.88,,APO
2014 HB192,       (2014 HB192),Y,,26.20,,,0.7050,2.151,0.634,3.60,47.80,259.93,,APO
2014 HC192,       (2014 HC192),Y,N,26.80,,,0.2152,1.159,0.909,9.85,34.37,280.24,0.0425,APO
2014 HD192,       (2014 HD192),Y,,27.72,,,0.5402,2.096,0.964,5.79,35.78,132.63,,APO
2014 HE192,       (2014 HE192),Y,,25.89,,,0.4185,1.76,1.023,9.09,214.01,33.35,,AMO
2014 HF192,       (2014 HF192),Y,N,24.84,,,0.5103,2.328,1.140,17.15,35.49,199.36,0.146,AMO
2014 HH192,       (2014 HH192),Y,N,19.17,,,0.3448,1.75,1.146,31.71,236.43,142.24,0.211,AMO
2014 HZ193,       (2014 HZ193),Y,N,23.25,,,0.2916,1.715,1.215,10.12,49.02,123.30,0.26,AMO
2014 HK194,       (2014 HK194),Y,,21.61,,,0.5492,1.548,0.698,14.46,28.33,329.95,,APO
2014 HF195,       (2014 HF195),Y,,21.09,,,0.6300,1.972,0.730,13.56,212.50,226.00,,APO
2014 HT195,       (2014 HT195),Y,N,24.11,,,0.4584,2.311,1.252,10.53,28.98,238.07,0.287,AMO
2014 HA196,       (2014 HA196),Y,N,24.13,,,0.2903,1.532,1.087,20.47,28.03,116.47,0.202,AMO
2014 HC196,       (2014 HC196),Y,N,25.29,,,0.5687,2.495,1.076,3.68,47.81,116.80,0.102,AMO
2014 HD196,       (2014 HD196),Y,N,24.47,,,0.1993,1.554,1.245,15.10,207.01,43.21,0.272,AMO
2014 HE196,       (2014 HE196),Y,N,25.73,,,0.2819,1.589,1.141,11.40,32.35,222.66,0.167,AMO
2014 HF196,       (2014 HF196),Y,N,27.00,,,0.4291,2.029,1.158,7.07,31.56,184.18,0.152,AMO
2014 HG196,       (2014 HG196),Y,N,25.70,,,0.5417,1.896,0.869,1.26,18.88,122.24,0.00256,APO
2014 HH196,       (2014 HH196),Y,N,28.20,,,0.4414,1.397,0.781,0.91,247.96,51.26,0.00642,APO
2014 HJ196,       (2014 HJ196),Y,N,29.20,,,0.4726,1.387,0.731,3.01,217.66,82.95,0.00124,APO
2014 HK196,       (2014 HK196),Y,N,26.40,,,0.5334,2.159,1.008,2.75,214.42,304.46,0.0398,APO
2014 HL196,       (2014 HL196),Y,N,28.30,,,0.2530,1.458,1.089,5.57,34.57,180.80,0.0825,AMO
2014 HM196,       (2014 HM196),Y,N,25.90,,,0.4744,0.8367,0.440,16.93,210.73,195.08,0.119,ATE
2014 HO196,       (2014 HO196),Y,N,25.80,,,0.1777,1.415,1.164,5.29,202.13,5.62,0.16,AMO
2014 HP196,       (2014 HP196),Y,N,25.06,,,0.3071,1.096,0.759,18.42,37.64,41.62,0.166,APO
2014 HR196,       (2014 HR196),Y,N,27.10,,,0.5217,2.362,1.130,3.37,39.29,181.75,0.122,AMO
2014 HS196,       (2014 HS196),Y,N,27.50,,,0.4919,1.74,0.884,1.09,190.91,91.65,0.0114,APO
2014 HT196,       (2014 HT196),Y,N,21.97,,,0.5670,1.698,0.735,9.26,48.12,39.24,0.0875,APO
2014 HU196,       (2014 HU196),Y,N,27.00,,,0.4214,1.935,1.120,2.94,205.96,22.31,0.112,AMO
2014 HV196,       (2014 HV196),Y,N,26.70,,,0.0943,1.201,1.088,9.26,212.40,42.31,0.0986,AMO
2014 HW196,       (2014 HW196),Y,N,25.60,,,0.5413,1.986,0.911,14.25,34.18,99.36,0.132,APO
2014 HX196,       (2014 HX196),Y,N,24.20,,,0.7169,1.432,0.405,24.56,31.65,317.87,0.151,APO
2014 HY196,       (2014 HY196),Y,N,21.18,,,0.6560,3.526,1.213,42.31,33.11,81.82,0.598,AMO
2014 HZ196,       (2014 HZ196),Y,N,25.10,,,0.5346,2.761,1.285,1.40,227.53,332.96,0.283,AMO
2014 HA197,       (2014 HA197),Y,N,24.36,,,0.1254,1.344,1.175,23.07,213.43,95.53,0.291,AMO
2014 HB197,       (2014 HB197),Y,N,27.80,,,0.2965,1.246,0.876,6.15,213.02,79.29,0.0249,APO
2014 HC197,       (2014 HC197),Y,N,23.20,,,0.2773,1.688,1.220,13.92,212.00,53.55,0.267,AMO
2014 HD197,       (2014 HD197),Y,N,26.27,,,0.5463,2.34,1.062,0.97,137.62,38.82,0.0674,AMO
2014 HE197,       (2014 HE197),Y,N,25.93,,,0.5780,2.118,0.894,3.17,185.38,102.38,0.0283,APO
2014 HG197,       (2014 HG197),Y,N,25.83,,,0.1939,1.38,1.113,9.27,43.81,128.62,0.149,AMO
2014 HH197,       (2014 HH197),Y,N,26.91,,,0.4115,1.874,1.103,8.55,217.55,337.46,0.11,AMO
2014 HJ197,       (2014 HJ197),Y,N,30.30,,,0.1676,1.021,0.850,0.83,214.65,255.53,0.00275,APO
2014 HK197,       (2014 HK197),Y,N,26.40,,,0.6355,2.254,0.821,5.55,31.63,254.31,0.0259,APO
2014 HL197,       (2014 HL197),Y,N,26.60,,,0.1574,1.318,1.111,11.09,212.31,344.86,0.11,AMO
2014 HM197,       (2014 HM197),Y,N,27.23,,,0.6310,2.26,0.834,4.63,215.86,65.67,0.0127,APO
2014 HN197,       (2014 HN197),Y,N,19.89,,,0.7751,2.85,0.641,4.09,268.46,171.44,0.0664,APO
2014 HO197,       (2014 HO197),Y,N,26.04,,,0.4899,2.3,1.173,3.86,226.09,21.56,0.162,AMO
2014 HP197,       (2014 HP197),Y,N,26.20,,,0.1749,1.184,0.977,9.77,32.14,263.25,0.0805,APO
2014 HQ197,       (2014 HQ197),Y,N,25.60,,,0.4714,2.066,1.092,11.74,33.10,169.37,0.0911,AMO
2014 HR197,       (2014 HR197),Y,N,26.86,,,0.5935,1.609,0.654,3.62,31.25,278.43,0.00408,APO
2014 HS197,       (2014 HS197),Y,N,29.40,,,0.6833,2.356,0.746,6.70,212.88,288.39,0.00616,APO
2014 HT197,       (2014 HT197),Y,N,28.70,,,0.6070,2.235,0.878,2.07,39.56,234.52,0.00357,APO
2014 HV197,       (2014 HV197),Y,N,26.58,,,0.2375,1.401,1.069,5.57,208.75,33.06,0.0728,AMO
2014 HW197,       (2014 HW197),Y,N,25.24,,,0.5552,2.841,1.263,13.11,219.27,24.64,0.267,AMO
2014 HX197,       (2014 HX197),Y,N,24.70,,,0.3123,1.844,1.268,17.54,217.13,3.90,0.261,AMO
2014 HY197,       (2014 HY197),Y,N,28.38,,,0.2976,1.472,1.034,2.75,215.00,25.84,0.0291,AMO
2014 HZ197,       (2014 HZ197),Y,N,22.16,,,0.6344,1.762,0.644,50.33,37.47,310.82,0.23,APO
2014 HA198,       (2014 HA198),Y,N,28.70,,,0.1613,1.237,1.038,5.49,35.64,171.89,0.033,AMO
2014 HB198,       (2014 HB198),Y,N,27.60,,,0.2352,1.43,1.094,4.58,38.23,171.98,0.0889,AMO
2014 HC198,       (2014 HC198),Y,N,24.65,,,0.3696,1.387,0.874,16.95,39.76,83.18,0.0996,APO
2014 HD198,       (2014 HD198),Y,N,29.65,,,0.6431,2.115,0.755,0.98,220.41,69.12,1.68e-05,APO
2014 HE198,       (2014 HE198),Y,N,22.93,,,0.4375,1.049,0.590,12.20,220.71,214.14,0.118,APO
2014 HF198,       (2014 HF198),Y,N,27.38,,,0.2935,1.547,1.093,14.45,217.01,26.36,0.104,AMO
2014 HG198,       (2014 HG198),Y,N,26.93,,,0.4039,1.79,1.067,7.68,33.54,200.52,0.0681,AMO
2014 HH198,       (2014 HH198),Y,N,28.49,,,0.2880,1.251,0.891,6.62,214.62,288.41,0.0207,APO
2014 HJ198,       (2014 HJ198),Y,N,26.60,,,0.7421,2.154,0.556,6.06,214.88,262.87,0.00791,APO
2014 HL198,       (2014 HL198),Y,N,27.30,,,0.2401,1.287,0.978,3.79,231.19,293.40,0.0365,APO
2014 HM198,       (2014 HM198),Y,N,27.48,,,0.2678,1.056,0.773,8.25,26.88,79.79,0.0122,APO
2014 HN198,       (2014 HN198),Y,N,24.60,,,0.5773,2.059,0.870,2.59,304.82,200.70,0.0195,APO
2014 HO198,       (2014 HO198),Y,N,26.50,,,0.3557,1.582,1.019,4.22,23.76,227.25,0.0428,AMO
2014 HP198,       (2014 HP198),Y,N,26.95,,,0.1893,1.272,1.032,8.13,24.29,132.95,0.0693,AMO
2014 HQ198,       (2014 HQ198),Y,N,25.80,,,0.4274,1.869,1.070,3.50,16.87,228.32,0.0735,AMO
2014 HR198,       (2014 HR198),Y,N,28.50,,,0.2399,1.378,1.048,1.32,248.92,1.03,0.0335,AMO
2014 HS198,       (2014 HS198),Y,N,25.50,,,0.2612,1.517,1.120,8.36,24.74,160.72,0.126,AMO
2014 HT198,       (2014 HT198),Y,N,23.58,,,0.4052,2.108,1.254,8.40,12.65,237.30,0.275,AMO
2014 HU198,       (2014 HU198),Y,N,26.55,,,0.4272,1.949,1.116,11.40,32.26,184.35,0.111,AMO
2014 HV198,       (2014 HV198),Y,N,26.51,,,0.2193,1.254,0.979,16.33,223.72,73.51,0.0917,APO
2014 HW198,       (2014 HW198),Y,N,25.11,,,0.4341,2.277,1.288,7.56,17.83,195.87,0.286,AMO
2014 HX198,       (2014 HX198),Y,N,27.00,,,0.4732,1.711,0.901,2.06,18.51,265.90,0.022,APO
2014 HY198,       (2014 HY198),Y,N,29.70,,,0.1982,1.096,0.879,2.50,227.24,74.81,0.00173,APO
2014 HZ198,       (2014 HZ198),Y,N,22.70,,,0.6674,3.701,1.231,40.87,35.18,116.11,0.466,AMO
2014 HA199,       (2014 HA199),Y,N,27.90,,,0.2791,1.458,1.051,2.68,234.17,353.24,0.0416,AMO
2014 HB199,       (2014 HB199),Y,N,24.63,,,0.4946,1.718,0.868,13.87,230.97,69.15,0.0482,APO
2014 HC199,       (2014 HC199),Y,N,22.40,,,0.4905,1.093,0.557,5.14,285.46,112.09,4.34e-05,APO
2014 HD199,       (2014 HD199),Y,N,22.30,,,0.3848,1.593,0.980,6.73,234.07,270.34,0.103,APO
2014 HE199,       (2014 HE199),Y,N,25.20,,,0.6322,2.394,0.881,5.26,24.82,125.08,0.0131,APO
2014 HF199,       (2014 HF199),Y,N,25.57,,,0.4491,1.959,1.079,13.28,32.36,151.92,0.102,AMO
2014 HG199,       (2014 HG199),Y,N,21.70,,,0.4120,2.012,1.183,12.06,22.35,262.90,0.279,AMO
2014 HH199,       (2014 HH199),Y,N,26.84,,,0.2729,1.538,1.118,12.04,228.24,348.49,0.113,AMO
2014 HJ199,       (2014 HJ199),Y,N,26.17,,,0.5216,1.623,0.776,7.55,231.68,258.52,0.0223,APO
2014 HK199,       (2014 HK199),Y,N,26.95,,,0.1889,1.316,1.067,6.60,234.99,31.54,0.0679,AMO
2014 HL199,       (2014 HL199),Y,N,26.83,,,0.2144,1.004,0.789,5.40,26.74,338.48,0.0746,APO
2014 HM199,       (2014 HM199),Y,N,24.06,,,0.4079,2.038,1.206,4.58,14.96,174.24,0.207,AMO
2014 HN199,       (2014 HN199),Y,N,26.90,,,0.7204,2.687,0.751,3.23,22.53,268.61,0.0209,APO
2014 HO199,       (2014 HO199),Y,N,26.05,,,0.2851,1.425,1.019,16.37,225.65,57.16,0.0998,AMO
2014 HA479,       (2014 HA479),Y,N,24.52,,,0.2405,1.417,1.076,6.71,217.09,289.52,0.134,AMO
2014 HC479,       (2014 HC479),Y,N,22.12,,,0.2701,1.666,1.216,7.85,43.93,94.13,0.273,AMO
2014 HW496,       (2014 HW496),Y,N,24.68,,,0.4656,1.986,1.061,6.09,11.34,150.33,0.0818,AMO
2014 HJ523,       (2014 HJ523),Y,N,23.12,,,0.6122,2.726,1.057,7.71,21.18,139.41,0.0965,AMO
2014 HK523,       (2014 HK523),Y,N,21.95,,,0.4139,2.131,1.249,6.32,27.85,291.14,0.262,AMO
2014 JD,       (2014 JD),Y,N,26.30,,,0.5609,2.186,0.960,1.84,63.32,199.77,0.00595,APO
2014 JN2,       (2014 JN2),Y,N,24.27,,,0.6916,0.8939,0.276,6.32,219.84,148.81,0.0149,ATE
2014 JQ2,       (2014 JQ2),Y,N,22.30,,,0.4199,1.619,0.939,15.42,65.93,81.36,0.151,APO
2014 JR2,       (2014 JR2),Y,N,21.74,,,0.4876,1.714,0.878,14.49,208.80,75.11,0.0795,APO
2014 JT2,       (2014 JT2),Y,N,24.80,,,0.2268,1.22,0.943,13.95,218.14,305.32,0.0138,APO
2014 JD15,       (2014 JD15),Y,N,20.60,,,0.4703,1.641,0.869,35.15,227.27,216.82,0.0595,APO
2014 JE15,       (2014 JE15),Y,N,25.10,,,0.5170,2.292,1.107,1.35,337.13,273.46,0.0965,AMO
