pdes,full_name,neo,pha,H,diameter,albedo,e,a,q,i,om,w,moid,class
2020 DN3,       (2020 DN3),Y,N,26.84,,,0.5260,1.575,0.747,2.08,337.01,103.62,0.00195,APO
2020 DO3,       (2020 DO3),Y,N,27.50,,,0.5619,0.8091,0.354,6.81,155.95,216.67,0.0035,ATE
2020 DP3,       (2020 DP3),Y,N,25.80,,,0.5288,2.15,1.013,6.97,338.19,192.30,0.0267,APO
2020 DQ3,       (2020 DQ3),Y,N,24.90,,,0.3604,1.551,0.992,14.03,340.46,148.83,0.0364,APO
2020 DR3,       (2020 DR3),Y,N,26.10,,,0.4957,1.942,0.980,12.50,336.62,210.77,0.029,APO
2020 DS3,       (2020 DS3),Y,N,25.90,,,0.2455,1.108,0.836,5.41,156.24,271.11,0.0133,APO
2020 DT3,       (2020 DT3),Y,Y,21.21,,,0.6061,2.252,0.887,3.26,207.35,28.03,0.0166,APO
2020 DU3,       (2020 DU3),Y,N,24.90,,,0.4531,1.9,1.039,21.30,334.07,174.92,0.0509,AMO
2020 DV3,       (2020 DV3),Y,N,27.90,,,0.4688,1.482,0.787,1.09,164.18,282.61,0.00277,APO
2020 DW3,       (2020 DW3),Y,N,28.40,,,0.3146,1.448,0.993,2.26,159.76,17.84,0.00657,APO
2020 DY3,       (2020 DY3),Y,N,24.70,,,0.3043,1.37,0.953,19.97,334.77,238.20,0.0674,APO
2020 DZ3,       (2020 DZ3),Y,N,25.50,,,0.6160,1.106,0.425,15.55,160.20,121.71,0.00783,APO
2020 DA4,       (2020 DA4),Y,N,25.59,,,0.4316,1.618,0.920,0.84,180.46,24.37,0.00408,APO
2020 DB4,       (2020 DB4),Y,N,25.40,,,0.3619,1.564,0.998,2.27,186.86,303.57,0.0325,APO
2020 DC4,       (2020 DC4),Y,N,25.70,,,0.2202,1.361,1.061,26.76,337.44,174.46,0.0718,AMO
2020 DD4,       (2020 DD4),Y,N,28.30,,,0.3949,1.379,0.835,0.54,205.40,20.60,0.00642,APO
